# .text relocations, oplus_security_guard.ko
# relocations for .text: 214 entries
# offset     type                   target
  0x458      ADD_ABS_LO12_NC        heapspary_ip4+0x18
  0x460      ADR_PREL_PG_HI21       heapspary_cpuinfo
  0x464      ADD_ABS_LO12_NC        heapspary_cpuinfo
  0x46c      ADR_PREL_PG_HI21       heapspary_xttr
  0x470      ADD_ABS_LO12_NC        heapspary_xttr
  0x478      ADR_PREL_PG_HI21       heapspary_ip6
  0x47c      ADD_ABS_LO12_NC        heapspary_ip6
  0x484      ADR_PREL_PG_HI21       heapspary_ip6+0xc
  0x488      ADD_ABS_LO12_NC        heapspary_ip6+0xc
  0x494      ADR_PREL_PG_HI21       __stack_chk_guard
  0x49c      LDST64_ABS_LO12_NC     __stack_chk_guard
  0x4c8      LDST32_ABS_LO12_NC     heapspary_ip4+0x4
  0x4d4      ADR_PREL_PG_HI21       .rodata+0x2fa
  0x4d8      ADR_PREL_PG_HI21       .rodata+0x50a
  0x4dc      ADD_ABS_LO12_NC        .rodata+0x2fa
  0x4e0      ADD_ABS_LO12_NC        .rodata+0x50a
  0x4e4      CALL26                 printk
  0x4e8      ADR_PREL_PG_HI21       heapspary_ip4+0x4
  0x4ec      ADR_PREL_PG_HI21       .rodata+0x55d
  0x4f0      ADD_ABS_LO12_NC        heapspary_ip4+0x4
  0x4f4      ADD_ABS_LO12_NC        .rodata+0x55d
  0x534      CALL26                 memset
  0x538      ADR_PREL_PG_HI21       .rodata+0x57e
  0x53c      ADD_ABS_LO12_NC        .rodata+0x57e
  0x558      ADR_PREL_PG_HI21       .rodata+0x1c
  0x55c      ADR_PREL_PG_HI21       .rodata+0x527
  0x568      ADD_ABS_LO12_NC        .rodata+0x1c
  0x56c      ADD_ABS_LO12_NC        .rodata+0x527
  0x57c      CALL26                 snprintf
  0x594      CALL26                 kevent_send_to_user
  0x5a0      LDST32_ABS_LO12_NC     heapspary_ip4+0x10
  0x5ac      ADR_PREL_PG_HI21       .rodata+0x14d
  0x5b0      ADR_PREL_PG_HI21       .rodata+0x50a
  0x5b4      ADD_ABS_LO12_NC        .rodata+0x14d
  0x5b8      ADD_ABS_LO12_NC        .rodata+0x50a
  0x5bc      CALL26                 printk
  0x5c0      ADR_PREL_PG_HI21       heapspary_ip4+0x10
  0x5c4      ADR_PREL_PG_HI21       .rodata+0x55d
  0x5c8      ADD_ABS_LO12_NC        heapspary_ip4+0x10
